StopName,StationID,Lon,Lat,TOWNNAME,TOWNENG
明吉路,"4194",22.66301000000,120.31368000000,三民區,Sanmin District
高雄客運鳳山站(澄瀾砲台),"120",22.62425100000,120.35719800000,鳳山區,Fengshan District
圓照寺,"4800",22.66289100000,120.38243100000,鳥松區,Niaosong District
南山公司,"4987",22.64641700000,120.38874400000,鳥松區,Niaosong District
八德路口(大灣),"215",22.67657500000,120.34015100000,仁武區,Renwu District
大仁北路,"4951",22.66698300000,120.36143700000,鳥松區,Niaosong District
仁慈公園,"4712",22.67285800000,120.35856800000,仁武區,Renwu District
極限公園,"4904",22.67557500000,120.33742200000,仁武區,Renwu District
後備指揮部,"4450",22.67232400000,120.33141700000,仁武區,Renwu District
民族裕誠路口,"1157",22.66499600000,120.31626400000,三民區,Sanmin District
勞工公園(民權二路),"3532",22.60610800000,120.31026800000,前鎮區,Qianzhen District
新堀江,"95",22.62362700000,120.30297000000,新興區,Xinxing District
大立百貨,"2319",22.62119600000,120.29596300000,前金區,Qianjin District
新興高中,"2290",22.62489900000,120.30576200000,新興區,Xinxing District
五甲社區,"3398",22.61418200000,120.35198300000,鳳山區,Fengshan District
三民公園(博愛路口),"1757",22.64543200000,120.30447500000,三民區,Sanmin District
憲德市場,"3240",22.60516100000,120.32631000000,前鎮區,Qianzhen District
新興國小,"3372",22.62672700000,120.30437700000,新興區,Xinxing District
榮佑路,"1489",22.68176200000,120.32082800000,左營區,Zuoying District
榮總側門,"2487",22.67960100000,120.32181300000,左營區,Zuoying District
自立十全路口,"885",22.64515500000,120.29655800000,三民區,Sanmin District
高醫(十全路),"368",22.64509600000,120.30922400000,三民區,Sanmin District
獅湖國小(鼎中路),"675",22.67420700000,120.32186100000,三民區,Sanmin District
慈雲寺(楠梓區公所),"2154",22.73019800000,120.32712600000,楠梓區,Nanzi District
後勁國中(捷運後勁站),"3476",22.72212000000,120.31542300000,楠梓區,Nanzi District
楠梓派出所(楠梓路),"854",22.73050600000,120.32873100000,楠梓區,Nanzi District
小港醫院,"2461",22.56646800000,120.36326100000,小港區,Xiaogang District
金城路,"3500",22.58273800000,120.36571100000,小港區,Xiaogang District
金城路,"3501",22.58306800000,120.36577100000,小港區,Xiaogang District
長庚醫院,"656",22.65096300000,120.35679700000,鳥松區,Niaosong District
台糖花卉市場,"4336",22.61415000000,120.35831000000,鳳山區,Fengshan District
小港站,"2458",22.56536400000,120.34072000000,小港區,Xiaogang District
河堤路口(明誠二路),"3998",22.66033900000,120.31252400000,三民區,Sanmin District
大中路口一(華夏路),"3819",22.68351100000,120.30826400000,左營區,Zuoying District
大樂民族店,"2695",22.65976500000,120.31474500000,三民區,Sanmin District
捷運巨蛋站(篤敬路口),"2688",22.66446200000,120.30277700000,鼓山區,Gushan District
高雄工職,"603",22.65081200000,120.32606500000,三民區,Sanmin District
鳳鳴電台,"3200",22.64147300000,120.29744200000,三民區,Sanmin District
高雄工職,"604",22.65060000000,120.32601700000,三民區,Sanmin District
捷運鹽埕埔站(大仁路),"2609",22.62522900000,120.28531500000,鹽埕區,Yancheng District
鼎西里,"3594",22.66078800000,120.32204400000,三民區,Sanmin District
大立百貨,"2318",22.62151700000,120.29583600000,前金區,Qianjin District
鼎山街,"3834",22.65945400000,120.32183100000,三民區,Sanmin District
北汕巷,"1342",22.59893300000,120.27756400000,旗津區,Qijin District
廣濟宮,"4386",22.57594900000,120.29611000000,旗津區,Qijin District
水肥處理廠,"2585",22.58465900000,120.28905800000,旗津區,Qijin District
高雄車站(建國路),"883",22.63787200000,120.30117100000,三民區,Sanmin District
獅甲國小,"4038",22.60698100000,120.30664700000,前鎮區,Qianzhen District
中山一路口,"1978",22.63441700000,120.30350800000,新興區,Xinxing District
高雄科大(建工),"382",22.65147900000,120.32787700000,三民區,Sanmin District
輕軌五權國小站(凱旋二路),"2280",22.62108400000,120.32508500000,苓雅區,Lingya District
鎮州路,"2957",22.58931000000,120.30950200000,前鎮區,Qianzhen District
海青工商,"1472",22.67442800000,120.28670800000,左營區,Zuoying District
榮總側門,"2488",22.67971300000,120.32167600000,左營區,Zuoying District
崇德路,"3713",22.67687800000,120.30181400000,左營區,Zuoying District
博愛路口(崇德路),"3696",22.67530200000,120.30438100000,左營區,Zuoying District
海富路,"2483",22.68887600000,120.28920300000,左營區,Zuoying District
莒光國小,"3061",22.71010800000,120.29620800000,楠梓區,Nanzi District
左營高中,"1465",22.69352900000,120.29656900000,左營區,Zuoying District
博愛三路口,"2579",22.68077300000,120.31057300000,左營區,Zuoying District
城市光廊(捷運中央公園站),"2317",22.62261700000,120.29988300000,前金區,Qianjin District
五福中正路口,"1037",22.62946100000,120.32039400000,苓雅區,Lingya District
捷運五塊厝站(中正一路),"2315",22.62930600000,120.32813600000,苓雅區,Lingya District
新濱碼頭,"2334",22.61990000000,120.27245800000,鼓山區,Gushan District
高雄高商(五褔二路),"100",22.62552900000,120.30783600000,新興區,Xinxing District
建軍站(捷運衛武營站),"74",22.62497700000,120.34322400000,苓雅區,Lingya District
衛武營都會公園,"2268",22.62407500000,120.33745300000,苓雅區,Lingya District
輕軌文武聖殿站(台電),"4494",22.63009500000,120.28088900000,鼓山區,Gushan District
五福瀨南街口,"2321",22.62411000000,120.28268700000,鹽埕區,Yancheng District
仁慈公園,"4711",22.67234800000,120.35875800000,仁武區,Renwu District
澄新四街口,"2196",22.67089700000,120.35684200000,仁武區,Renwu District
九如大順路口,"3124",22.63900600000,120.32943200000,三民區,Sanmin District
正修科大(澄清湖),"660",22.65146100000,120.34896900000,鳥松區,Niaosong District
民族國中(覺民路),"3125",22.64046900000,120.33381500000,三民區,Sanmin District
高雄少年法院,"1257",22.73076300000,120.33558600000,楠梓區,Nanzi District
店仔頂路口,"700",22.68444600000,120.28927900000,左營區,Zuoying District
台灣銀行(健保署),"87",22.62744500000,120.28969800000,前金區,Qianjin District
