OID,StopUID,StopID,StopName,StopNameEn,StopAddres,StationID,StopDescri,Updatetime,ProvCode,Lon,Lat,UniqueID
-1,KHH10000746802,10000746802,後勁國中(捷運後勁站),Houjing Elementary School(MRT Houjin Station), ,3476, ,2024/10/30,KHH,22.72212,120.315423,B1E0010069V090
-1,KHH10000752291,10000752291,鳳山厝,Fongshancuo, ,842, ,2024/10/30,KHH,22.753432,120.35525,B1E0010069V090
-1,KHH10000754501,10000754501,高雄科大(楠梓),National Kaohsiung University of Science and Technology(Nanzih), ,3081, ,2024/10/30,KHH,22.724811,120.313821,B1E0010069V090
-1,KHH1000111032,1000111032,仁智街口,Renjhih St. Intersection, ,3927, ,2024/10/30,KHH,22.620211,120.303158,B1E0010069V090
-1,KHH100011451,100011451,三多一路口,Sanduo 1st Rd. Intersection, ,3217, ,2024/10/30,KHH,22.62265,120.335975,B1E0010069V090
-1,KHH100011431,100011431,武營路,Wuying Rd., ,3215, ,2024/10/30,KHH,22.620349,120.336206,B1E0010069V090
-1,KHH100011731,100011731,國民市場,Guomin Market, ,3922, ,2024/10/30,KHH,22.622167,120.308514,B1E0010069V090
-1,KHH10001211021,10001211021,苓雅路口(中山二路),Lingya Rd. Intersection(Jhongshan 2nd Rd.), ,4060, ,2024/10/30,KHH,22.619574,120.302582,B1E0010069V090
-1,KHH10001211472,10001211472,金福路口(草衙三路),Jinfu Rd. Intersection(Caoya 3rd Rd.), ,2061, ,2024/10/30,KHH,22.570059,120.329678,B1E0010069V090
-1,KHH10001211252,10001211252,勞工行政中心(捷運前鎮高中站),Labor Administration Center(MRT Cianjhen Senior High School Station), ,3729, ,2024/10/30,KHH,22.588397,120.32152,B1E0010069V090
-1,KHH10001211522,10001211522,平和路,Pinghe Rd., ,3727, ,2024/10/30,KHH,22.568452,120.330851,B1E0010069V090
-1,KHH1000122821,1000122821,捷運中央公園站,MRT Central Park Station, ,2294, ,2024/10/30,KHH,22.624875,120.301339,B1E0010069V090
-1,KHH1000129811,1000129811,飛機路,Feiji Rd., ,2494, ,2024/10/30,KHH,22.573133,120.359317,B1E0010069V090
-1,KHH100016113072,1.00016E+11,左營新光三越,Shin Kong Mitsukoshi Department Store(Kaohsiung Zuoying), ,3838, ,2024/10/30,KHH,22.688994,120.310725,B1E0010069V090
-1,KHH10001636331,10001636331,高鐵左營站,HSR Zuoying Station, ,2777, ,2024/10/30,KHH,22.687058,120.308715,B1E0010069V090
-1,KHH10001659092,10001659092,崇德路口(華夏路),Chongde Rd. Intersection(Huasia Rd.), ,3823, ,2024/10/30,KHH,22.676501,120.301145,B1E0010069V090
-1,KHH10002383321,10002383321,全國加油站,National Gas Station, ,5033, ,2024/10/30,KHH,22.650438,120.392126,B1E0010069V090
-1,KHH10002383301,10002383301,吳記工廠,Wu's Plant, ,5036, ,2024/10/30,KHH,22.642665,120.382411,B1E0010069V090
